CASERNE,NO_CIVIQUE,RUE,LATITUDE,LONGITUDE,ARRONDISSEMENT,VILLE,DATE_DEBUT,DATE_FIN,MTM8_X,MTM8_Y
"02","10","chemin du Tour-de-L'Isle","45.5189905622625","-73.5347326082121","VILLE-MARIE",,2015-01-01T07:00:00,,302086.6,5042119.7
"03","256","rue  Young","45.4934543793718","-73.5601720032226","LE SUD-OUEST",,2015-01-01T07:00:00,,300097,5039283
"04","5260","rue Van Horne","45.4899899438549","-73.641637937585","CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE",,2019-05-06T07:00:00,,293729,5038906
"05","75","rue Ontario Est","45.5122394056785","-73.5668472941541","VILLE-MARIE",,2015-01-01T07:00:00,,299577,5041371
"09","8100","boulevard Saint-Michel","45.5637484701804","-73.6101688625091","VILLERAY-SAINT-MICHEL-PARC-EXTENSION",,2019-05-06T07:00:00,,296200,5047099
"10","1445","rue Saint-Mathieu","45.4945669363569","-73.5801455406789","VILLE-MARIE",,2015-01-01T07:00:00,,298536,5039408
"13","3250","rue Sainte-Catherine Est","45.5398678901366","-73.5403098915477","MERCIER-HOCHELAGA-MAISONNEUVE",,2015-01-01T07:00:00,,301652,5044440
"14","8216","boulevard Maurice-Duplessis","45.6336023514506","-73.586222820932","RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES",,2015-01-01T07:00:00,,298077.6,5054859.7
"15","1255","rue de la Sucrerie","45.4844194758814","-73.5609171345086","LE SUD-OUEST",,2015-01-01T07:00:00,,300038,5038279
"16","1041","rue Rachel Est","45.5258129621963","-73.5749028744983","LE PLATEAU-MONT-ROYAL",,2019-05-06T07:00:00,,298949,5042880
"17","4240","rue de Charleroi","45.5934135172589","-73.6372837472013","MONTRÉAL-NORD",,2015-01-01T07:00:00,,294089,5050399
"18","12012","boulevard Rolland","45.6166110096517","-73.6215046694016","MONTRÉAL-NORD",,2015-01-01T07:00:00,,295324,5052975
"19","2000","rue de Lorimier","45.5279824530893","-73.5579683610969","VILLE-MARIE",,2015-01-01T07:00:00,,300272,5043120
"20","920","rue Saint-Urbain","45.5059356891286","-73.5591487444205","VILLE-MARIE",,2015-01-01T07:00:00,,300178,5040670
"21","6025","boulevard Lavoisier","45.5972042835413","-73.6002747741928","SAINT-LÉONARD",,2015-01-01T07:00:00,,296977,5050816
"22","5455","rue Antonio-Dagenais","45.5828637182906","-73.5859736735737","SAINT-LÉONARD",,2015-01-01T07:00:00,,298091,5049221
"23","523","place Saint-Henri","45.4779250157793","-73.5852510867613","LE SUD-OUEST",,2015-01-01T07:00:00,,298135,5037559
"25","1212","rue Drummond","45.4978110616769","-73.5730871757798","VILLE-MARIE",,2015-01-01T07:00:00,,299088,5039768
"26","2151","avenue Mont-Royal Est","45.5360280348549","-73.571933009301","LE PLATEAU-MONT-ROYAL",,2015-01-01T07:00:00,,299182,5044015
"27","5353","rue Gatineau","45.4973914651673","-73.6219517390426","CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE",,2019-05-06T07:00:00,,295269,5039726
"28","7650","boulevard Châteauneuf","45.6028391266366","-73.5587248693008","ANJOU",,2015-01-01T07:00:00,,300219,5051439
"29","5375","1ère Avenue","45.5453476006564","-73.5761710131619","ROSEMONT-LA PETITE-PATRIE",,2015-01-01T07:00:00,,298852,5045051
"30","5","rue Laurier Ouest","45.5229649648134","-73.5932429899519","LE PLATEAU-MONT-ROYAL",,2015-01-01T07:00:00,,297516,5042565
"31","7041","rue Saint-Dominique","45.5347232920378","-73.6156945768854","ROSEMONT-LA PETITE-PATRIE",,2019-05-06T07:00:00,,295764,5043874
"33","6040","boulevard Monk","45.4578413687524","-73.5954499348277","LE SUD-OUEST",,2015-01-01T07:00:00,,297335,5035328
"34","5369","chemin de la Côte-Saint-Antoine","45.4754521363078","-73.614255870437","CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE",,2015-01-01T07:00:00,,295867,5037287
"35","10827","rue Lajeunesse","45.5560171509645","-73.6702900160447","AHUNTSIC-CARTIERVILLE",,2015-01-01T07:00:00,,291505,5046248
"37","795","rue Jarry Est","45.5463734869714","-73.6267575593049","VILLERAY-SAINT-MICHEL-PARC-EXTENSION",,2015-01-01T07:00:00,,294902,5045170
"38","14201","rue Sherbrooke Est","45.6722214018271","-73.5051211334344","RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES",,2015-01-01T07:00:00,,304401,5059148
"39","2915","rue Monsabré","45.5725217899582","-73.5433184970308","MERCIER-HOCHELAGA-MAISONNEUVE",,2015-01-01T07:00:00,,301419,5048069
"40","8639","avenue Pierre-De-Coubertin","45.6013402913844","-73.5226894001655","MERCIER-HOCHELAGA-MAISONNEUVE",,2015-01-01T07:00:00,,303030,5051271
"41","7405","avenue Champagneur","45.5276302734172","-73.6263826158206","VILLERAY-SAINT-MICHEL-PARC-EXTENSION",,2019-05-06T07:00:00,,294928,5043087
"42","4180","rue De Salaberry","45.5344651001401","-73.7038473241896","AHUNTSIC-CARTIERVILLE",,2015-01-01T07:00:00,,288879,5043859
"43","1945","rue Fleury Est","45.5694040746645","-73.6530090731657","AHUNTSIC-CARTIERVILLE",,2019-05-06T07:00:00,,292857,5047733
"44","12145","boulevard Rivière-des-Prairies","45.6526511432668","-73.562934043292","RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES",,2015-01-01T07:00:00,,299895,5056975
"45","5100","rue Hochelaga","45.5630113008474","-73.5412615500993","MERCIER-HOCHELAGA-MAISONNEUVE",,2015-01-01T07:00:00,,301579,5047012
"46","4760","avenue Cumberland","45.4670027027916","-73.6385238893533","CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE",,2015-01-01T07:00:00,,293968,5036351
"47","2111","rue Saint-Zotique Est","45.5475176061416","-73.5979836216596","ROSEMONT-LA PETITE-PATRIE",,2015-01-01T07:00:00,,297149,5045294
"48","3616","rue Hochelaga","45.5473233393061","-73.550829390422","MERCIER-HOCHELAGA-MAISONNEUVE",,2015-01-01T07:00:00,,300831,5045269
"49","10","rue Chabanel Ouest","45.5440493815669","-73.6510066736331","AHUNTSIC-CARTIERVILLE",,2015-01-01T07:00:00,,293008,5044915
"50","6490","30e Avenue","45.5668631280531","-73.5754570185447","ROSEMONT-LA PETITE-PATRIE",,2015-01-01T07:00:00,,298910,5047442
"57","13795","boulevard Pierrefonds","45.4937533686966","-73.8498386320894","PIERREFONDS-ROXBORO",,2015-01-01T07:00:00,,277457,5039374
"58","13","rue du Centre Commercial","45.5096526724085","-73.8062958057883","PIERREFONDS-ROXBORO",,2015-01-01T07:00:00,,280867,5041127
"64","3175","rue Remembrance","45.4372857667618","-73.69109896875","LACHINE",,2015-01-01T07:00:00,,289849,5033057
"65","1300","avenue Dollard","45.4259473573013","-73.6265388805635","LASALLE",,2015-01-01T07:00:00,,294898,5031787
"66","4398","boulevard LaSalle","45.45994266172","-73.5627959751586","VERDUN",,2015-01-01T07:00:00,,299889,5035559
"67","911","boulevard René-Lévesque","45.4692142293106","-73.5342486432372","VERDUN",,2015-01-01T07:00:00,,302122,5036588
"71","5500","chemin du Bois-Franc","45.4939541528954","-73.7442003519122","SAINT-LAURENT",,2019-05-06T07:00:00,,285713.6,5039365.8
"72","2727","boulevard Poirier","45.5084313613361","-73.7095763471175","SAINT-LAURENT",,2015-01-01T07:00:00,,288424,5040967
"73","820","rue Saint-Germain","45.5126150853355","-73.6780429949501","SAINT-LAURENT",,2015-01-01T07:00:00,,290889,5041426
"75","40","avenue Saint-Just","45.5177601144633","-73.6078007202427","OUTREMONT",,2015-01-01T07:00:00,,296378,5041988
"56","230","boulevard Chèvremont","45.4936778924068","-73.8764122218112","L'ÎLE-BIZARD-SAINTE-GENEVIÈVE",,2015-01-01T07:00:00,,275380,5039375
"32","16101","rue Sherbrooke Est","45.6970521860186","-73.4923671784932","RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES",,2015-01-01T07:00:00,,305394.4,5061907.6
"59","18661","Boulevard Pierrefonds","45.4587535033342","-73.8977468313299","PIERREFONDS-ROXBORO",,2015-01-01T07:00:00,,273693.3,5035501.9
"08","11371","rue Notre-Dame Est","45.6315496481458","-73.4962548930092",,"MONTRÉAL-EST",2015-01-01T07:00:00,,305092,5054628
"51","550","boulevard des Anciens-Combattants","45.4177791512729","-73.9500159041546",,"SAINTE-ANNE-DE-BELLEVUE",2015-01-01T07:00:00,,269580,5030970
"52","330","rue Surrey","45.4195992334552","-73.9120779086982",,"BAIE-D'URFÉ",2015-01-01T07:00:00,,272550.2,5031156.4
"53","310","Beaurepaire drive","45.4287888241933","-73.868415076878",,"BEACONSFIELD",2015-01-01T07:00:00,,275972,5032161
"54","3048","boulevard Saint-Charles","45.4490928897158","-73.8559930605803",,"KIRKLAND",2015-01-01T07:00:00,,276954,5034413
"55","401","boulevard Saint-Jean","45.447814876512","-73.8163031936823",,"POINTE-CLAIRE",2015-01-01T07:00:00,,280058,5034258
"61","10","rue Sunnydale","45.494039471585","-73.8066461642058",,"DOLLARD-DES-ORMEAUX",2015-01-01T07:00:00,,280833,5039392
"62","150","avenue Avro","45.4741960594848","-73.7865349667563",,"DORVAL",2015-01-01T07:00:00,,282397,5037181
"63","530","boulevard Bouchard","45.4470563250551","-73.7354409386434",,"DORVAL",2019-05-06T07:00:00,,286383,5034152
"74","10","avenue Roosevelt","45.5152676091238","-73.6407797907479",,"MONT-ROYAL",2015-01-01T07:00:00,,293801,5041715
"76","19","rue Stanton","45.4863189887702","-73.5984275366453",,"WESTMOUNT",2015-01-01T07:00:00,,297106,5038493
"77","114","avenue Westminster Nord","45.4537179405426","-73.6480548219311",,"MONTRÉAL-OUEST",2015-01-01T07:00:00,,293220,5034876
"78","6815","chemin Côte-Saint-Luc","45.4679571769958","-73.6521717096539",,"CÔTE-SAINT-LUC",2015-01-01T07:00:00,,292901,5036459
"79","5520","avenue MacDonald","45.483486932873","-73.6393318377964",,"HAMPSTEAD",1900-01-01T07:00:00,2009-11-05T06:59:59,293908,5038183
